subjek,jendela,t_mulai_s,t_selesai_s,ecg_hz,ecg_bpm,radar_hz,radar_bpm,radar_bpm_sebelum_medfilt,galat_bpm,galat_mutlak_bpm,galat_persen
subject05,37,360.0,400.0,1.118,67.08,1.1,66.0,91.5,-1.0799999999999983,1.0799999999999983,1.610017889087654
subject05,38,370.0,410.0,1.1084,66.5,0.95,57.0,72.0,-9.5,9.5,14.285714285714285
subject05,39,380.0,420.0,1.1062,66.37,0.95,57.0,66.0,-9.370000000000005,9.370000000000005,14.11782431821607
subject06,1,0.0,40.0,1.2224,73.34,0.9,54.0,55.5,-19.340000000000003,19.340000000000003,26.370329970002732
subject06,2,10.0,50.0,1.2226,73.36,0.925,55.5,54.0,-17.86,17.86,24.34569247546347
subject06,3,20.0,60.0,1.2073,72.44,1.05,63.0,64.5,-9.439999999999998,9.439999999999998,13.031474323578133
subject06,4,30.0,70.0,1.1924,71.54,1.075,64.5,63.0,-7.040000000000006,7.040000000000006,9.840648588202413
subject06,5,40.0,80.0,1.1894,71.36,1.075,64.5,76.5,-6.859999999999999,6.859999999999999,9.613228699551568
subject06,6,50.0,90.0,1.1855,71.13,1.25,75.0,76.5,3.8700000000000045,3.8700000000000045,5.440742302825818
subject06,7,60.0,100.0,1.1928,71.57,1.275,76.5,75.0,4.930000000000007,4.930000000000007,6.888361045130652
subject06,8,70.0,110.0,1.1981,71.88,1.275,76.5,90.0,4.6200000000000045,4.6200000000000045,6.427378964941576
subject06,9,80.0,120.0,1.2124,72.75,1.3,78.0,63.0,5.25,5.25,7.216494845360824
subject06,10,90.0,130.0,1.2247,73.48,1.325,79.5,78.0,6.019999999999996,6.019999999999996,8.192705498094714
subject06,11,100.0,140.0,1.2178,73.07,1.325,79.5,79.5,6.430000000000007,6.430000000000007,8.79978103188724
subject06,12,110.0,150.0,1.2307,73.84,1.325,79.5,91.5,5.659999999999997,5.659999999999997,7.665222101841815
subject06,13,120.0,160.0,1.2219,73.32,1.3,78.0,85.5,4.680000000000007,4.680000000000007,6.382978723404264
subject06,14,130.0,170.0,1.214,72.84,1.3,78.0,84.0,5.159999999999997,5.159999999999997,7.084019769357491
subject06,15,140.0,180.0,1.2284,73.71,1.05,63.0,55.5,-10.709999999999994,10.709999999999994,14.529914529914523
subject06,16,150.0,190.0,1.2118,72.71,1.05,63.0,55.5,-9.709999999999994,9.709999999999994,13.35442167514784
subject06,17,160.0,200.0,1.218,73.08,1.05,63.0,54.0,-10.079999999999998,10.079999999999998,13.79310344827586
subject06,18,170.0,210.0,1.2152,72.91,1.05,63.0,52.5,-9.909999999999997,9.909999999999997,13.592099849129058
subject06,19,180.0,220.0,1.2179,73.08,1.025,61.5,63.0,-11.579999999999998,11.579999999999998,15.845648604269291
subject06,20,190.0,230.0,1.2205,73.23,1.025,61.5,67.5,-11.730000000000004,11.730000000000004,16.01802539942647
subject06,21,200.0,240.0,1.2156,72.94,1.05,63.0,76.5,-9.939999999999998,9.939999999999998,13.627639155470247
subject06,22,210.0,250.0,1.2466,74.79,1.05,63.0,63.0,-11.790000000000006,11.790000000000006,15.764139590854398
subject06,23,220.0,260.0,1.2386,74.31,1.125,67.5,61.5,-6.810000000000002,6.810000000000002,9.164311667339527
subject06,24,230.0,270.0,1.2686,76.12,1.25,75.0,60.0,-1.1200000000000045,1.1200000000000045,1.4713610089332692
subject06,25,240.0,280.0,1.3007,78.04,1.25,75.0,75.0,-3.0400000000000063,3.0400000000000063,3.895438236801648
subject06,26,250.0,290.0,1.2918,77.51,1.25,75.0,75.0,-2.510000000000005,2.510000000000005,3.238291833311837
subject06,27,260.0,300.0,1.297,77.82,1.25,75.0,75.0,-2.819999999999993,2.819999999999993,3.623747108712405
subject06,28,270.0,310.0,1.305,78.3,1.25,75.0,75.0,-3.299999999999997,3.299999999999997,4.214559386973177
